nL,xL,stddevMSE,minGridMSE,SD min error %,MERSize,optnLRange,optxLRange
0.1,0.535,18.9095965396074,3.44898690392198,548.265246183004,394,0.13,0.21
0.195,0.66,5.21513702585833,1.54736334388643,337.033770798766,274,0.15,0.135
0.12,0.575,47.7333777219084,4.29400963710432,1111.62716798413,252,0.13,0.16
0.19,0.555,10.5224678608892,3.9152585121501,268.755379197444,140,0.09,0.0950000000000001
0.12,0.745,20.1414778591876,4.45141200536381,452.473907940172,337,0.15,0.12
0.145,0.565,16.9664262290348,6.62139328004469,256.23649753848,125,0.0800000000000001,0.0900000000000001
0.16,0.545,80.8640133553928,4.1627349593787,1942.56934790444,712,0.18,0.215
0.095,0.305,231.955939664872,142.291923495896,163.014128958319,159,0.07,0.12
0.125,0.595,52.9561656300657,12.672184370944,417.892954205185,411,0.15,0.19
0.16,0.465,23.8876506471942,7.09422891657613,336.719479003266,123,0.075,0.09
