nL,xL,delta2Norm,delta2NormnL,delta2NormxL,stddevMSE,minGridMSE,SD min error %,MERSize,optnLRange,optxLRange
0.1,0.725,0.0808689015111926,0.241475235024679,0.160613958949186,86.4095395598386,7.95172190061073,1086.67708252224,55,0.1,0.4
0.2,0.675,0.0729638582256816,0.394437726300628,0.321487032272599,2.23522311735187,1.04008182148984,214.908391933058,2,0.025,0.025
0.275,0.575,0.0567405208857696,2.14338981454382,2.08672652232829,1.46407491274646,6.28852855816741,23.281677091932,5,0.025,0.0750000000000001
0.175,0.725,0.0291224717533677,0.705735321702826,0.676791812668243,1.18982227361617,1.6622519827248,71.5789354430959,2,0,0.025
0.025,0.775,0.0885582068225687,0.105083433010855,0.0165252301933804,40.4729089009518,203.084858124421,19.9290627941133,3,0,0.0499999999999999
0.225,0.65,0.0503268470786767,0.638984829041305,0.588662764665869,1.2525690609634,0.616547484219043,203.158571403462,3,0.025,0.0499999999999999
0.225,0.55,0.0498746889737702,0.290708357567924,0.240872618527315,3.59203205047096,2.07444380102149,173.156392508787,5,0.025,0.075
0.175,0.6,0.0618000910298739,0.191134552508283,0.129342083069537,5.47514406773658,6.4811416950853,84.4780800254441,3,0.025,0.05
0.025,0.875,0.0716900188564994,0.0720691937316828,0.000379174875847067,31.1009566029029,188.099827386651,16.5342823728237,7,0.025,0.125
0.125,0.725,0.0441646593345382,0.258227855183647,0.214063310694674,4.64334210323682,6.64478419829809,69.8795019471981,5,0.025,0.0750000000000001
