nL,xL,stddevMSE,minGridMSE,SD min error %,MERSize
0.125,0.675,3.3658299573777,8.17862816696799,41.153967250543,3
0.2,0.675,2.00900132162139,1.24936103670834,160.80230314485,1
0.275,0.575,1.29398752499324,5.47487451956169,23.6350170286064,4
0.175,0.75,1.36272379814047,1.78768532556346,76.2283931435725,2
0.05,0.725,54.3889825871249,208.284564385128,26.1128244177312,8
0.225,0.65,1.10522858598445,0.851381328006953,129.815929669463,2
0.225,0.55,3.62245419239204,3.1912022956847,113.513774958438,4
0.175,0.6,4.93809930895063,3.89858765686551,126.663800934539,2
0.05,0.825,38.5310214579992,180.550647232343,21.3408381795582,9
0.15,0.675,3.24940650783719,4.25405531202705,76.3837390325058,2
