nL,xL,stddevMSE,minGridMSE,SD min error %,MERSize,optnLRange,optxLRange
0.17,0.765,86.4095395598386,60.4259456927996,143.000723561924,421,0.095,0.195
0.19,0.685,2.23522311735187,0.340092344796546,657.240055988045,41,0.0300000000000001,0.0449999999999999
0.265,0.59,1.46407491274646,6.130330421871,23.8824796053916,119,0.05,0.095
0.17,0.745,1.18982227361617,1.37786915343627,86.3523412690436,43,0.025,0.0599999999999999
0.03,0.765,40.4729089009518,208.164363262596,19.4427654506338,97,0.03,0.105
0.215,0.655,1.2525690609634,0.158797299784899,788.784861367341,49,0.03,0.0649999999999999
0.215,0.565,3.59203205047096,1.47281101063121,243.889543501682,82,0.045,0.0800000000000001
0.17,0.615,5.47514406773658,5.32483114891742,102.822867328849,64,0.04,0.0649999999999999
0.03,0.855,31.1009566029029,187.494648311033,16.5876503052556,153,0.045,0.155
0.135,0.7,4.64334210323682,4.4126092974213,105.228942565805,66,0.0350000000000001,0.075
